,,,
,,,
61.8 Nec-61combed compact - eb/100sh,,,
M/c. No.,14-05-2026  (1),14-05-2026  (2),14-05-2026  (3)
1,8.35,7.57,7.05
2,6.85,5.94,6.82
3,19.94,6.34,6.13
4,6.89,8.5,12.97
70.0 Nec-68 combed Star - eb/100sh,,,
M/c. No.,14-05-2026  (1),14-05-2026  (2),14-05-2026  (3)
5,7.11,8.07,10.16
6,10.66,9.69,8.74
7,9.51,8.18,6.75
8,8.4,9.49,9.09
9,10.15,8.62,8.21
10,10.41,9.91,9.59
12,6.2,6.74,7.06
13,9.34,4.51,4.66
14,8.77,6.55,5.5
15,11.36,9.85,11.06
16,10.26,9.68,10.52
17,7.52,5.18,8.39
18,6.84,6.42,6.48
19,10.06,9.19,10.23
20,6.51,4.54,6.69
21,8.3,5.89,6.1
22,7.23,5.53,5.63
23,6.78,4.15,4.27
70.0 Nec-68combed star - eb/100sh,,,
M/c. No.,14-05-2026  (1),14-05-2026  (2),14-05-2026  (3)
11,9.84,8.49,7.17
KAYYAR EXPORT PVT LTD,1 / 1,,
